Time,Value
1.746,4.761
1.747,4.781
1.748,4.800
1.749,4.820
1.750,4.840
1.751,4.861
1.752,4.881
1.753,4.901
1.754,4.921
1.755,4.942
1.756,4.962
1.757,4.982
1.758,5.003
1.759,5.023
1.760,5.044
1.761,5.065
1.762,5.085
1.763,5.106
1.764,5.127
1.765,5.148
1.766,5.169
1.767,5.190
1.768,5.211
1.769,5.232
1.770,5.254
1.771,5.275
1.772,5.296
1.773,5.318
1.774,5.339
1.775,5.361
1.776,5.382
1.777,5.404
1.778,5.425
1.779,5.447
1.780,5.469
1.781,5.491
1.782,5.513
1.783,5.535
1.784,5.557
1.785,5.579
1.786,5.601
1.787,5.624
1.788,5.646
1.789,5.668
1.790,5.691
1.791,5.713
1.792,5.736
1.793,5.758
1.794,5.781
1.795,5.804
1.796,5.827
1.797,5.850
1.798,5.872
1.799,5.895
1.800,5.919
1.801,5.942
1.802,5.965
1.803,5.988
1.804,6.011
1.805,6.035
1.806,6.058
1.807,6.082
1.808,6.105
1.809,6.129
1.810,6.153
1.811,6.176
1.812,6.200
1.813,6.224
1.814,6.248
1.815,6.272
1.816,6.296
1.817,6.320
1.818,6.344
1.819,6.369
1.820,6.393
1.821,6.418
1.822,6.442
1.823,6.467
1.824,6.491
1.825,6.516
1.826,6.540
1.827,6.565
1.828,6.590
1.829,6.615
1.830,6.640
1.831,6.665
1.832,6.690
1.833,6.715
1.834,6.741
1.835,6.766
1.836,6.791
1.837,6.817
1.838,6.842
1.839,6.868
1.840,6.894
1.841,6.919
1.842,6.945
1.843,6.971
1.844,6.997
1.845,7.023
1.846,7.049
1.847,7.075
1.848,7.101
1.849,7.127
1.850,7.154
1.851,7.180
1.852,7.206
1.853,7.233
1.854,7.260
1.855,7.286
1.856,7.313
1.857,7.340
1.858,7.367
1.859,7.393
1.860,7.420
1.861,7.448
1.862,7.475
1.863,7.502
1.864,7.529
1.865,7.556
1.866,7.584
1.867,7.611
1.868,7.639
1.869,7.666
1.870,7.694
1.871,7.722
1.872,7.750
1.873,7.778
1.874,7.805
1.875,7.833
1.876,7.862
1.877,7.890
1.878,7.918
1.879,7.946
1.880,7.975
1.881,8.003
1.882,8.032
1.883,8.060
1.884,8.089
1.885,8.117
1.886,8.146
1.887,8.175
1.888,8.204
1.889,8.233
1.890,8.262
1.891,8.291
1.892,8.320
1.893,8.350
1.894,8.379
1.895,8.408
1.896,8.438
1.897,8.467
1.898,8.497
1.899,8.527
1.900,8.557
1.901,8.586
1.902,8.616
1.903,8.646
1.904,8.676
1.905,8.707
1.906,8.737
1.907,8.767
1.908,8.797
1.909,8.828
1.910,8.858
1.911,8.889
1.912,8.919
1.913,8.950
1.914,8.981
1.915,9.012
1.916,9.043
1.917,9.074
1.918,9.105
1.919,9.136
1.920,9.167
1.921,9.198
1.922,9.230
1.923,9.261
1.924,9.293
1.925,9.324
1.926,9.356
1.927,9.388
1.928,9.420
1.929,9.451
1.930,9.483
1.931,9.515
1.932,9.547
1.933,9.580
1.934,9.612
1.935,9.644
1.936,9.677
1.937,9.709
1.938,9.742
1.939,9.774
1.940,9.807
1.941,9.840
1.942,9.873
1.943,9.905
1.944,9.938
1.945,9.972
1.946,10.005
1.947,10.038
1.948,10.071
1.949,10.105
1.950,10.138
1.951,10.172
1.952,10.205
1.953,10.239
1.954,10.273
1.955,10.306
1.956,10.340
1.957,10.374
1.958,10.408
1.959,10.442
1.960,10.477
1.961,10.511
1.962,10.545
1.963,10.580
1.964,10.614
1.965,10.649
1.966,10.684
1.967,10.718
1.968,10.753
1.969,10.788
1.970,10.823
1.971,10.858
1.972,10.893
1.973,10.928
1.974,10.964
1.975,10.999
1.976,11.034
1.977,11.070
1.978,11.106
1.979,11.141
1.980,11.177
1.981,11.213
1.982,11.249
1.983,11.285
1.984,11.321
1.985,11.357
1.986,11.393
1.987,11.429
1.988,11.466
1.989,11.502
1.990,11.539
1.991,11.575
1.992,11.612
1.993,11.649
1.994,11.686
1.995,11.723
1.996,11.760
1.997,11.797
1.998,11.834
1.999,11.871
2.000,11.909
2.001,11.946
2.002,11.984
2.003,12.021
2.004,12.059
2.005,12.096
2.006,12.134
2.007,12.172
2.008,12.210
2.009,12.248
2.010,12.286
2.011,12.325
2.012,12.363
2.013,12.401
2.014,12.440
2.015,12.478
2.016,12.517
2.017,12.556
2.018,12.594
2.019,12.633
2.020,12.672
2.021,12.711
2.022,12.750
2.023,12.790
2.024,12.829
2.025,12.868
2.026,12.908
2.027,12.947
2.028,12.987
2.029,13.026
2.030,13.066
2.031,13.106
2.032,13.146
2.033,13.186
2.034,13.226
2.035,13.266
2.036,13.307
2.037,13.347
2.038,13.387
2.039,13.428
2.040,13.469
2.041,13.509
2.042,13.550
2.043,13.591
2.044,13.632
2.045,13.673
2.046,13.714
2.047,13.755
2.048,13.796
2.049,13.838
2.050,13.879
2.051,13.921
2.052,13.962
2.053,14.004
2.054,14.046
2.055,14.088
2.056,14.129
2.057,14.172
2.058,14.214
2.059,14.256
2.060,14.298
2.061,14.340
2.062,14.383
2.063,14.425
2.064,14.468
2.065,14.511
2.066,14.554
2.067,14.596
2.068,14.639
2.069,14.683
2.070,14.726
2.071,14.769
2.072,14.812
2.073,14.856
2.074,14.899
2.075,14.943
2.076,14.973
2.077,15.002
2.078,15.015
2.079,15.025
2.080,15.029
2.081,15.031
2.082,15.029
2.083,15.025
2.084,15.015
2.085,15.002
2.086,14.973
2.087,14.943
2.088,14.899
2.089,14.856
2.090,14.812
2.091,14.769
2.092,14.726
2.093,14.683
2.094,14.639
2.095,14.596
2.096,14.554
2.097,14.511
2.098,14.468
2.099,14.425
2.100,14.383
2.101,14.340
2.102,14.298
2.103,14.256
2.104,14.214
2.105,14.172
2.106,14.129
2.107,14.088
2.108,14.046
2.109,14.004
2.110,13.962
2.111,13.921
2.112,13.879
2.113,13.838
2.114,13.796
2.115,13.755
2.116,13.714
2.117,13.673
2.118,13.632
2.119,13.591
2.120,13.550
2.121,13.509
2.122,13.469
2.123,13.428
2.124,13.387
2.125,13.347
2.126,13.307
2.127,13.266
2.128,13.226
2.129,13.186
2.130,13.146
2.131,13.106
2.132,13.066
2.133,13.026
2.134,12.987
2.135,12.947
2.136,12.908
2.137,12.868
2.138,12.829
2.139,12.790
2.140,12.750
2.141,12.711
2.142,12.672
2.143,12.633
2.144,12.594
2.145,12.556
2.146,12.517
2.147,12.478
2.148,12.440
2.149,12.401
2.150,12.363
2.151,12.325
2.152,12.286
2.153,12.248
2.154,12.210
2.155,12.172
2.156,12.134
2.157,12.096
2.158,12.059
2.159,12.021
2.160,11.984
2.161,11.946
2.162,11.909
2.163,11.871
2.164,11.834
2.165,11.797
2.166,11.760
2.167,11.723
2.168,11.686
2.169,11.649
2.170,11.612
2.171,11.575
2.172,11.539
2.173,11.502
2.174,11.466
2.175,11.429
2.176,11.393
2.177,11.357
2.178,11.321
2.179,11.285
2.180,11.249
2.181,11.213
2.182,11.177
2.183,11.141
2.184,11.106
2.185,11.070
2.186,11.034
2.187,10.999
2.188,10.964
2.189,10.928
2.190,10.893
2.191,10.858
2.192,10.823
2.193,10.788
2.194,10.753
2.195,10.718
2.196,10.684
2.197,10.649
2.198,10.614
2.199,10.580
2.200,10.545
2.201,10.511
2.202,10.477
2.203,10.442
2.204,10.408
2.205,10.374
2.206,10.340
2.207,10.306
2.208,10.273
2.209,10.239
2.210,10.205
2.211,10.172
2.212,10.138
2.213,10.105
2.214,10.071
2.215,10.038
2.216,10.005
2.217,9.972
2.218,9.938
2.219,9.905
2.220,9.873
2.221,9.840
2.222,9.807
2.223,9.774
2.224,9.742
2.225,9.709
2.226,9.677
2.227,9.644
2.228,9.612
2.229,9.580
2.230,9.547
2.231,9.515
2.232,9.483
2.233,9.451
2.234,9.420
2.235,9.388
2.236,9.356
2.237,9.324
2.238,9.293
2.239,9.261
2.240,9.230
2.241,9.198
2.242,9.167
2.243,9.136
2.244,9.105
2.245,9.074
2.246,9.043
2.247,9.012
2.248,8.981
2.249,8.950
2.250,8.919
2.251,8.889
2.252,8.858
2.253,8.828
2.254,8.797
2.255,8.767
2.256,8.737
2.257,8.707
2.258,8.676
2.259,8.646
2.260,8.616
2.261,8.586
2.262,8.557
2.263,8.527
2.264,8.497
2.265,8.467
2.266,8.438
2.267,8.408
2.268,8.379
2.269,8.350
2.270,8.320
2.271,8.291
2.272,8.262
2.273,8.233
2.274,8.204
2.275,8.175
2.276,8.146
2.277,8.117
2.278,8.089
2.279,8.060
2.280,8.032
2.281,8.003
2.282,7.975
2.283,7.946
2.284,7.918
2.285,7.890
2.286,7.862
2.287,7.833
2.288,7.805
2.289,7.778
2.290,7.750
2.291,7.722
2.292,7.694
2.293,7.666
2.294,7.639
2.295,7.611
2.296,7.584
2.297,7.556
2.298,7.529
2.299,7.502
2.300,7.475
2.301,7.448
2.302,7.420
2.303,7.393
2.304,7.367
2.305,7.340
2.306,7.313
2.307,7.286
2.308,7.260
2.309,7.233
2.310,7.206
2.311,7.180
2.312,7.154
2.313,7.127
2.314,7.101
2.315,7.075
2.316,7.049
2.317,7.023
2.318,6.997
2.319,6.971
2.320,6.945
2.321,6.919
2.322,6.894
2.323,6.868
2.324,6.842
2.325,6.817
2.326,6.791
2.327,6.766
2.328,6.741
2.329,6.715
2.330,6.690
2.331,6.665
2.332,6.640
2.333,6.615
2.334,6.590
2.335,6.565
2.336,6.540
2.337,6.516
2.338,6.491
2.339,6.467
2.340,6.442
2.341,6.418
2.342,6.393
2.343,6.369
2.344,6.344
2.345,6.320
2.346,6.296
2.347,6.272
2.348,6.248
2.349,6.224
2.350,6.200
2.351,6.176
2.352,6.153
2.353,6.129
2.354,6.105
2.355,6.082
2.356,6.058
2.357,6.035
2.358,6.011
2.359,5.988
2.360,5.965
2.361,5.942
2.362,5.919
2.363,5.895
2.364,5.872
2.365,5.850
2.366,5.827
2.367,5.804
2.368,5.781
2.369,5.758
2.370,5.736
2.371,5.713
2.372,5.691
2.373,5.668
2.374,5.646
2.375,5.624
2.376,5.601
2.377,5.579
2.378,5.557
2.379,5.535
2.380,5.513
2.381,5.491
2.382,5.469
2.383,5.447
2.384,5.425
2.385,5.404
2.386,5.382
2.387,5.361
2.388,5.339
2.389,5.318
2.390,5.296
2.391,5.275
2.392,5.246
2.393,5.216
2.394,5.187
2.395,5.158
2.396,5.128
2.397,5.099
2.398,5.070
2.399,5.040
2.400,5.014
2.401,4.989
2.402,4.966
2.403,4.945
2.404,4.925
2.405,4.905
2.406,4.887
2.407,4.869
2.408,4.852
2.409,4.836
2.410,4.820
2.411,4.805
2.412,4.790
2.413,4.775
2.414,4.761
2.415,4.747
2.416,4.734
2.417,4.721
2.418,4.708
2.419,4.695
2.420,4.683
2.421,4.670
2.422,4.659
2.423,4.647
2.424,4.635
2.425,4.624
2.426,4.613
2.427,4.602
2.428,4.591
2.429,4.580
2.430,4.570
2.431,4.560
2.432,4.549
2.433,4.539
2.434,4.529
2.435,4.520
2.436,4.510
2.437,4.500
2.438,4.491
2.439,4.481
2.440,4.472
2.441,4.463
2.442,4.454
2.443,4.445
2.444,4.436
2.445,4.427
2.446,4.419
2.447,4.410
2.448,4.401
2.449,4.393
2.450,4.385
2.451,4.376
2.452,4.368
2.453,4.360
2.454,4.352
2.455,4.344
2.456,4.336
2.457,4.328
2.458,4.320
2.459,4.312
2.460,4.304
2.461,4.297
2.462,4.289
2.463,4.282
2.464,4.274
2.465,4.267
2.466,4.259
2.467,4.252
2.468,4.245
2.469,4.237
2.470,4.230
2.471,4.223
2.472,4.216
2.473,4.209
2.474,4.202
2.475,4.195
2.476,4.188
2.477,4.181
2.478,4.174
2.479,4.168
2.480,4.161
2.481,4.154
2.482,4.147
2.483,4.141
2.484,4.134
2.485,4.128
2.486,4.121
2.487,4.115
2.488,4.108
2.489,4.102
2.490,4.095
2.491,4.089
2.492,4.083
2.493,4.076
2.494,4.070
2.495,4.064
2.496,4.058
2.497,4.051
2.498,4.045
2.499,4.039
2.500,4.033
2.501,4.027
2.502,4.021
2.503,4.015
2.504,4.009
2.505,4.003
2.506,3.997
2.507,3.991
2.508,3.985
2.509,3.980
2.510,3.974
2.511,3.968
2.512,3.962
2.513,3.956
2.514,3.951
2.515,3.945
2.516,3.939
2.517,3.934
2.518,3.928
2.519,3.922
2.520,3.917
2.521,3.911
2.522,3.906
2.523,3.900
2.524,3.895
2.525,3.889
2.526,3.884
2.527,3.878
2.528,3.873
2.529,3.868
2.530,3.862
2.531,3.857
2.532,3.852
2.533,3.846
2.534,3.841
2.535,3.836
2.536,3.830
2.537,3.825
2.538,3.820
2.539,3.815
2.540,3.810
2.541,3.804
2.542,3.799
2.543,3.794
2.544,3.789
2.545,3.784
2.546,3.779
2.547,3.774
2.548,3.769
2.549,3.764
2.550,3.759
2.551,3.754
2.552,3.749
2.553,3.744
2.554,3.739
2.555,3.734
2.556,3.729
2.557,3.724
2.558,3.719
2.559,3.714
2.560,3.709
2.561,3.705
2.562,3.700
2.563,3.695
2.564,3.690
2.565,3.685
2.566,3.681
2.567,3.676
2.568,3.671
2.569,3.666
2.570,3.662
2.571,3.657
2.572,3.652
2.573,3.648
2.574,3.643
2.575,3.638
2.576,3.634
2.577,3.629
2.578,3.624
2.579,3.620
2.580,3.615
2.581,3.611
2.582,3.606
2.583,3.602
2.584,3.597
2.585,3.592
2.586,3.588
2.587,3.583
2.588,3.579
2.589,3.574
2.590,3.570
2.591,3.566
2.592,3.561
2.593,3.557
2.594,3.552
2.595,3.548
2.596,3.543
2.597,3.539
2.598,3.535
2.599,3.530
2.600,3.526
2.601,3.522
2.602,3.517
2.603,3.513
2.604,3.509
2.605,3.504
2.606,3.500
2.607,3.496
2.608,3.491
2.609,3.487
2.610,3.483
2.611,3.479
2.612,3.474
2.613,3.470
2.614,3.466
2.615,3.462
2.616,3.458
2.617,3.453
2.618,3.449
2.619,3.445
2.620,3.441
2.621,3.437
2.622,3.433
2.623,3.428
2.624,3.424
2.625,3.420
2.626,3.416
2.627,3.412
2.628,3.408
2.629,3.404
2.630,3.400
2.631,3.396
2.632,3.392
2.633,3.388
2.634,3.384
2.635,3.379
2.636,3.375
2.637,3.371
2.638,3.367
2.639,3.363
2.640,3.359
2.641,3.355
2.642,3.351
2.643,3.348
2.644,3.344
2.645,3.340
2.646,3.336
2.647,3.332
2.648,3.328
2.649,3.324
2.650,3.320
2.651,3.316
2.652,3.312
2.653,3.308
2.654,3.304
2.655,3.301
2.656,3.297
2.657,3.293
2.658,3.289
2.659,3.285
2.660,3.281
2.661,3.277
2.662,3.274
2.663,3.270
2.664,3.266
2.665,3.262
2.666,3.258
2.667,3.255
2.668,3.251
2.669,3.247
2.670,3.243
2.671,3.240
2.672,3.236
2.673,3.232
2.674,3.228
2.675,3.225
2.676,3.221
2.677,3.217
2.678,3.213
2.679,3.210
2.680,3.206
2.681,3.202
2.682,3.199
2.683,3.195
2.684,3.191
2.685,3.188
2.686,3.184
2.687,3.180
2.688,3.177
2.689,3.173
2.690,3.169
2.691,3.166
2.692,3.162
2.693,3.159
2.694,3.155
2.695,3.151
2.696,3.148
2.697,3.144
2.698,3.141
2.699,3.137
2.700,3.133
2.701,3.130
2.702,3.126
2.703,3.123
2.704,3.119
2.705,3.116
2.706,3.112
2.707,3.109
2.708,3.105
2.709,3.101
2.710,3.098
2.711,3.094
2.712,3.091
2.713,3.087
2.714,3.084
2.715,3.080
2.716,3.077
2.717,3.073
2.718,3.070
2.719,3.067
2.720,3.063
2.721,3.060
2.722,3.056
2.723,3.053
2.724,3.049
2.725,3.046
2.726,3.042
2.727,3.039
2.728,3.036
2.729,3.032
2.730,3.029
2.731,3.025
2.732,3.022
2.733,3.019
2.734,3.015
2.735,3.012
2.736,3.008
2.737,3.005
2.738,3.002
2.739,2.998
2.740,2.995
2.741,2.992
2.742,2.988
2.743,2.985
2.744,2.981
2.745,2.978
2.746,2.975
2.747,2.971
2.748,2.968
2.749,2.965
2.750,2.962
2.751,2.958
2.752,2.955
2.753,2.952
2.754,2.948
2.755,2.945
2.756,2.942
2.757,2.938
2.758,2.935
2.759,2.932
2.760,2.929
2.761,2.925
2.762,2.922
2.763,2.919
2.764,2.916
2.765,2.912
2.766,2.909
2.767,2.906
2.768,2.903
2.769,2.899
2.770,2.896
2.771,2.893
2.772,2.890
2.773,2.887
2.774,2.883
2.775,2.880
2.776,2.877
2.777,2.874
2.778,2.871
2.779,2.867
2.780,2.864
2.781,2.861
2.782,2.858
2.783,2.855
2.784,2.851
2.785,2.848
2.786,2.845
2.787,2.842
2.788,2.839
2.789,2.836
2.790,2.833
2.791,2.829
2.792,2.826
2.793,2.823
2.794,2.820
2.795,2.817
2.796,2.814
2.797,2.811
2.798,2.808
2.799,2.804
2.800,2.801
2.801,2.798
2.802,2.795
2.803,2.792
2.804,2.789
2.805,2.786
2.806,2.783
2.807,2.780
2.808,2.777
2.809,2.774
2.810,2.770
2.811,2.767
2.812,2.764
2.813,2.761
2.814,2.758
2.815,2.755
2.816,2.752
2.817,2.749
2.818,2.746
2.819,2.743
2.820,2.740
2.821,2.737
2.822,2.734
2.823,2.731
2.824,2.728
2.825,2.725
2.826,2.722
2.827,2.719
2.828,2.716
2.829,2.713
2.830,2.710
2.831,2.707
2.832,2.704
2.833,2.701
2.834,2.698
2.835,2.695
2.836,2.692
2.837,2.689
2.838,2.686
2.839,2.683
2.840,2.680
2.841,2.677
2.842,2.674
2.843,2.671
2.844,2.668
2.845,2.665
2.846,2.662
2.847,2.660
2.848,2.657
2.849,2.654
2.850,2.651
2.851,2.648
2.852,2.645
2.853,2.642
2.854,2.639
2.855,2.636
2.856,2.633
2.857,2.630
2.858,2.627
2.859,2.625
2.860,2.622
2.861,2.619
2.862,2.616
2.863,2.613
2.864,2.610
2.865,2.607
2.866,2.604
2.867,2.601
2.868,2.599
2.869,2.596
2.870,2.593
2.871,2.590
2.872,2.587
2.873,2.584
2.874,2.581
2.875,2.579
2.876,2.576
2.877,2.573
2.878,2.570
2.879,2.567
2.880,2.564
2.881,2.561
2.882,2.559
2.883,2.556
2.884,2.553
2.885,2.550
2.886,2.547
2.887,2.545
2.888,2.542
2.889,2.539
2.890,2.536
2.891,2.533
2.892,2.531
2.893,2.528
2.894,2.525
2.895,2.522
2.896,2.519
2.897,2.517
2.898,2.514
2.899,2.511
2.900,2.508
2.901,2.505
2.902,2.503
2.903,2.500
2.904,2.497
2.905,2.494
2.906,2.492
2.907,2.489
2.908,2.486
2.909,2.483
2.910,2.481
2.911,2.478
2.912,2.475
2.913,2.472
2.914,2.470
2.915,2.467
2.916,2.464
2.917,2.461
2.918,2.459
2.919,2.456
2.920,2.453
2.921,2.450
2.922,2.448
2.923,2.445
2.924,2.442
2.925,2.440
2.926,2.437
2.927,2.434
2.928,2.431
2.929,2.429
2.930,2.426
2.931,2.423
2.932,2.421
2.933,2.418
2.934,2.415
2.935,2.413
2.936,2.410
2.937,2.407
2.938,2.405
2.939,2.402
2.940,2.399
2.941,2.396
2.942,2.394
2.943,2.391
2.944,2.388
2.945,2.386
2.946,2.383
2.947,2.381
2.948,2.378
2.949,2.375
2.950,2.373
2.951,2.370
2.952,2.367
2.953,2.365
2.954,2.362
2.955,2.359
2.956,2.357
2.957,2.354
2.958,2.351
2.959,2.349
2.960,2.346
2.961,2.344
2.962,2.341
2.963,2.338
2.964,2.336
2.965,2.333
2.966,2.330
2.967,2.328
2.968,2.325
2.969,2.323
2.970,2.320
2.971,2.317
2.972,2.315
2.973,2.312
2.974,2.310
2.975,2.307
2.976,2.304
2.977,2.302
2.978,2.299
2.979,2.297
2.980,2.294
2.981,2.291
2.982,2.289
2.983,2.286
2.984,2.284
2.985,2.281
2.986,2.279
2.987,2.276
2.988,2.273
2.989,2.271
2.990,2.268
2.991,2.266
2.992,2.263
2.993,2.261
2.994,2.258
2.995,2.256
2.996,2.253
2.997,2.250
2.998,2.248
2.999,2.245
3.000,2.243
3.001,2.240
3.002,2.238
3.003,2.235
3.004,2.233
3.005,2.230
3.006,2.228
3.007,2.225
3.008,2.223
3.009,2.220
3.010,2.218
3.011,2.215
3.012,2.213
3.013,2.210
3.014,2.208
3.015,2.205
3.016,2.203
3.017,2.200
3.018,2.198
3.019,2.195
3.020,2.193
3.021,2.190
3.022,2.188
3.023,2.185
3.024,2.183
3.025,2.180
3.026,2.178
3.027,2.175
3.028,2.173
3.029,2.170
3.030,2.168
3.031,2.165
3.032,2.163
3.033,2.160
3.034,2.158
3.035,2.155
3.036,2.153
3.037,2.150
3.038,2.148
3.039,2.145
3.040,2.143
3.041,2.140
3.042,2.138
3.043,2.136
3.044,2.133
3.045,2.131
3.046,2.128
3.047,2.126
3.048,2.123
3.049,2.121
3.050,2.118
3.051,2.116
3.052,2.114
3.053,2.111
3.054,2.109
3.055,2.106
3.056,2.104
3.057,2.101
3.058,2.099
3.059,2.097
3.060,2.094
3.061,2.092
3.062,2.089
3.063,2.087
3.064,2.084
3.065,2.082
3.066,2.080
3.067,2.077
3.068,2.075
3.069,2.072
3.070,2.070
3.071,2.068
3.072,2.065
3.073,2.063
3.074,2.060
3.075,2.058
3.076,2.056
3.077,2.053
3.078,2.051
3.079,2.048
3.080,2.046
3.081,2.044
3.082,2.041
3.083,2.039
3.084,2.037
3.085,2.034
3.086,2.032
3.087,2.029
3.088,2.027
3.089,2.025
3.090,2.022
3.091,2.020
3.092,2.018
3.093,2.015
3.094,2.013
3.095,2.010
3.096,2.008
3.097,2.006
3.098,2.003
3.099,2.001
3.100,1.999
3.101,1.996
3.102,1.994
3.103,1.992
3.104,1.989
3.105,1.987
3.106,1.985
3.107,1.982
3.108,1.980
3.109,1.978
3.110,1.975
3.111,1.973
3.112,1.971
3.113,1.968
3.114,1.966
3.115,1.964
3.116,1.961
3.117,1.959
3.118,1.957
3.119,1.954
3.120,1.952
3.121,1.950
3.122,1.947
3.123,1.945
3.124,1.943
3.125,1.940
3.126,1.938
3.127,1.936
3.128,1.933
3.129,1.931
3.130,1.929
3.131,1.927
3.132,1.924
3.133,1.922
3.134,1.920
3.135,1.917
3.136,1.915
3.137,1.913
3.138,1.910
3.139,1.908
3.140,1.906
3.141,1.904
3.142,1.901
3.143,1.899
3.144,1.897
3.145,1.894
3.146,1.892
3.147,1.890
3.148,1.888
3.149,1.885
3.150,1.883
3.151,1.881
3.152,1.879
3.153,1.876
3.154,1.874
3.155,1.872
3.156,1.869
3.157,1.867
3.158,1.865
3.159,1.863
3.160,1.860
3.161,1.858
3.162,1.856
3.163,1.854
3.164,1.851
3.165,1.849
3.166,1.847
3.167,1.845
3.168,1.842
3.169,1.840
3.170,1.838
3.171,1.836
3.172,1.833
3.173,1.831
3.174,1.829
3.175,1.827
3.176,1.824
3.177,1.822
3.178,1.820
3.179,1.818
3.180,1.816
3.181,1.813
3.182,1.811
3.183,1.809
3.184,1.807
3.185,1.804
3.186,1.802
3.187,1.800
3.188,1.798
3.189,1.796
3.190,1.793
3.191,1.791
3.192,1.789
3.193,1.787
3.194,1.784
3.195,1.782
3.196,1.780
3.197,1.778
3.198,1.776
3.199,1.773
3.200,1.771
3.201,1.769
3.202,1.767
3.203,1.765
3.204,1.762
3.205,1.760
3.206,1.758
3.207,1.756
3.208,1.754
3.209,1.751
3.210,1.749
3.211,1.747
3.212,1.745
3.213,1.743
3.214,1.741
3.215,1.738
3.216,1.736
3.217,1.734
3.218,1.732
3.219,1.730
3.220,1.727
3.221,1.725
3.222,1.723
3.223,1.721
3.224,1.719
3.225,1.717
3.226,1.714
3.227,1.712
3.228,1.710
3.229,1.708
3.230,1.706
3.231,1.704
3.232,1.701
3.233,1.699
3.234,1.697
3.235,1.695
3.236,1.693
3.237,1.691
3.238,1.689
3.239,1.686
3.240,1.684
3.241,1.682
3.242,1.680
3.243,1.678
3.244,1.676
3.245,1.674
3.246,1.671
3.247,1.669
3.248,1.667
3.249,1.665
3.250,1.663
3.251,1.661
3.252,1.659
3.253,1.656
3.254,1.654
3.255,1.652
3.256,1.650
3.257,1.648
3.258,1.646
3.259,1.644
3.260,1.642
3.261,1.639
3.262,1.637
3.263,1.635
3.264,1.633
3.265,1.631
3.266,1.629
3.267,1.627
3.268,1.625
3.269,1.622
3.270,1.620
3.271,1.618
3.272,1.616
3.273,1.614
3.274,1.612
3.275,1.610
3.276,1.608
3.277,1.606
3.278,1.603
3.279,1.601
3.280,1.599
3.281,1.597
3.282,1.595
3.283,1.593
3.284,1.591
3.285,1.589
3.286,1.587
3.287,1.585
3.288,1.583
3.289,1.580
3.290,1.578
3.291,1.576
3.292,1.574
3.293,1.572
3.294,1.570
3.295,1.568
3.296,1.566
3.297,1.564
3.298,1.562
3.299,1.560
3.300,1.558
3.301,1.555
3.302,1.553
3.303,1.551
3.304,1.549
3.305,1.547
3.306,1.545
3.307,1.543
3.308,1.541
3.309,1.539
3.310,1.537
3.311,1.535
3.312,1.533
3.313,1.531
3.314,1.529
3.315,1.527
3.316,1.524
3.317,1.522
3.318,1.520
3.319,1.518
3.320,1.516
3.321,1.514
3.322,1.512
3.323,1.510
3.324,1.508
3.325,1.506
3.326,1.504
3.327,1.502
3.328,1.500
3.329,1.498
3.330,1.496
3.331,1.494
3.332,1.492
3.333,1.490
3.334,1.488
3.335,1.486
3.336,1.483
3.337,1.481
3.338,1.479
3.339,1.477
3.340,1.475
3.341,1.473
3.342,1.471
3.343,1.469
3.344,1.467
3.345,1.465
3.346,1.463
3.347,1.461
3.348,1.459
3.349,1.457
3.350,1.455
3.351,1.453
3.352,1.451
3.353,1.449
3.354,1.447
3.355,1.445
3.356,1.443
3.357,1.441
3.358,1.439
3.359,1.437
3.360,1.435
3.361,1.433
3.362,1.431
3.363,1.429
3.364,1.427
3.365,1.425
3.366,1.423
3.367,1.421
3.368,1.419
3.369,1.417
3.370,1.415
3.371,1.413
3.372,1.411
3.373,1.409
3.374,1.407
3.375,1.405
3.376,1.403
3.377,1.401
3.378,1.399
3.379,1.397
3.380,1.395
3.381,1.393
3.382,1.391
3.383,1.389
3.384,1.387
3.385,1.385
3.386,1.383
3.387,1.381
3.388,1.379
3.389,1.377
3.390,1.375
3.391,1.373
3.392,1.371
3.393,1.369
3.394,1.367
3.395,1.365
3.396,1.363
3.397,1.361
3.398,1.359
3.399,1.357
3.400,1.355
3.401,1.353
3.402,1.351
3.403,1.349
3.404,1.347
3.405,1.345
3.406,1.344
3.407,1.342
3.408,1.340
3.409,1.338
3.410,1.336
3.411,1.334
3.412,1.332
3.413,1.330
3.414,1.328
3.415,1.326
3.416,1.324
3.417,1.322
3.418,1.320
3.419,1.318
3.420,1.316
3.421,1.314
3.422,1.312
3.423,1.310
3.424,1.308
3.425,1.306
3.426,1.304
3.427,1.302
3.428,1.301
3.429,1.299
3.430,1.297
3.431,1.295
3.432,1.293
3.433,1.291
3.434,1.289
3.435,1.287
3.436,1.285
3.437,1.283
3.438,1.281
3.439,1.279
3.440,1.277
3.441,1.275
3.442,1.273
3.443,1.271
3.444,1.270
3.445,1.268
3.446,1.266
3.447,1.264
3.448,1.262
3.449,1.260
3.450,1.258
3.451,1.256
3.452,1.254
3.453,1.252
3.454,1.250
3.455,1.248
3.456,1.246
3.457,1.245
3.458,1.243
3.459,1.241
3.460,1.239
3.461,1.237
3.462,1.235
3.463,1.233
3.464,1.231
3.465,1.229
3.466,1.227
3.467,1.225
3.468,1.224
3.469,1.222
3.470,1.220
3.471,1.218
3.472,1.216
3.473,1.214
3.474,1.212
3.475,1.210
3.476,1.208
3.477,1.206
3.478,1.204
3.479,1.203
3.480,1.201
3.481,1.199
3.482,1.197
3.483,1.195
3.484,1.193
3.485,1.191
3.486,1.189
3.487,1.187
3.488,1.186
3.489,1.184
3.490,1.182
3.491,1.180
3.492,1.178
3.493,1.176
3.494,1.174
