Time,Value
0.399,1.205
0.400,1.185
0.401,1.166
0.402,1.147
0.403,1.128
0.404,1.109
0.405,1.091
0.406,1.073
0.407,1.055
0.408,1.037
0.409,1.019
0.410,1.002
0.411,0.985
0.412,0.968
0.413,0.951
0.414,0.935
0.415,0.919
0.416,0.903
0.417,0.887
0.418,0.871
0.419,0.856
0.420,0.841
0.421,0.826
0.422,0.811
0.423,0.796
0.424,0.782
0.425,0.768
0.426,0.754
0.427,0.740
0.428,0.726
0.429,0.713
0.430,0.700
0.431,0.687
0.432,0.674
0.433,0.661
0.434,0.649
0.435,0.636
0.436,0.624
0.437,0.612
0.438,0.600
0.439,0.589
0.440,0.577
0.441,0.566
0.442,0.555
0.443,0.544
0.444,0.533
0.445,0.522
0.446,0.516
0.447,0.496
0.448,0.483
0.449,0.474
0.450,0.466
0.451,0.460
0.452,0.455
0.453,0.450
0.454,0.446
0.455,0.443
0.456,0.439
0.457,0.436
0.458,0.433
0.459,0.430
0.460,0.428
0.461,0.425
0.462,0.423
0.463,0.421
0.464,0.419
0.465,0.417
0.466,0.415
0.467,0.413
0.468,0.412
0.469,0.410
0.470,0.408
0.471,0.407
0.472,0.405
0.473,0.404
0.474,0.402
0.475,0.401
0.476,0.400
0.477,0.398
0.478,0.397
0.479,0.396
0.480,0.395
0.481,0.394
0.482,0.393
0.483,0.392
0.484,0.390
0.485,0.389
0.486,0.388
0.487,0.387
0.488,0.386
0.489,0.385
0.490,0.385
0.491,0.384
0.492,0.383
0.493,0.382
0.494,0.381
0.495,0.380
0.496,0.379
0.497,0.378
0.498,0.378
0.499,0.377
0.500,0.376
0.501,0.375
0.502,0.375
0.503,0.374
0.504,0.373
0.505,0.372
0.506,0.372
0.507,0.371
0.508,0.370
0.509,0.370
0.510,0.369
0.511,0.368
0.512,0.368
0.513,0.367
0.514,0.366
0.515,0.366
0.516,0.365
0.517,0.365
0.518,0.364
0.519,0.363
0.520,0.363
0.521,0.362
0.522,0.362
0.523,0.361
0.524,0.360
0.525,0.360
0.526,0.359
0.527,0.359
0.528,0.358
0.529,0.358
0.530,0.357
0.531,0.357
0.532,0.356
0.533,0.356
0.534,0.355
0.535,0.355
0.536,0.354
0.537,0.354
0.538,0.353
0.539,0.353
0.540,0.352
0.541,0.352
0.542,0.351
0.543,0.351
0.544,0.350
0.545,0.350
0.546,0.350
0.547,0.349
0.548,0.349
0.549,0.348
0.550,0.348
0.551,0.347
0.552,0.347
0.553,0.347
0.554,0.346
0.555,0.346
0.556,0.345
0.557,0.345
0.558,0.344
0.559,0.344
0.560,0.344
0.561,0.343
0.562,0.343
0.563,0.342
0.564,0.342
0.565,0.342
0.566,0.341
0.567,0.341
0.568,0.341
0.569,0.340
0.570,0.340
0.571,0.339
0.572,0.339
0.573,0.339
0.574,0.338
0.575,0.338
0.576,0.338
0.577,0.337
0.578,0.337
0.579,0.337
0.580,0.336
0.581,0.336
0.582,0.336
0.583,0.335
0.584,0.335
0.585,0.335
0.586,0.334
0.587,0.334
0.588,0.334
0.589,0.333
0.590,0.333
0.591,0.333
0.592,0.332
0.593,0.332
0.594,0.332
0.595,0.331
0.596,0.331
0.597,0.331
0.598,0.330
0.599,0.330
0.600,0.330
0.601,0.330
0.602,0.329
0.603,0.329
0.604,0.329
0.605,0.328
0.606,0.328
0.607,0.328
0.608,0.327
0.609,0.327
0.610,0.327
0.611,0.327
0.612,0.326
0.613,0.326
0.614,0.326
0.615,0.325
0.616,0.325
0.617,0.325
0.618,0.325
0.619,0.324
0.620,0.324
0.621,0.324
0.622,0.324
0.623,0.323
0.624,0.323
0.625,0.323
0.626,0.322
0.627,0.322
0.628,0.322
0.629,0.322
0.630,0.321
0.631,0.321
0.632,0.321
0.633,0.321
0.634,0.320
0.635,0.320
0.636,0.320
0.637,0.320
0.638,0.319
0.639,0.319
0.640,0.319
0.641,0.319
0.642,0.318
0.643,0.318
0.644,0.318
0.645,0.318
0.646,0.317
0.647,0.317
0.648,0.317
0.649,0.317
0.650,0.317
0.651,0.316
0.652,0.316
0.653,0.316
0.654,0.316
0.655,0.315
0.656,0.315
0.657,0.315
0.658,0.315
0.659,0.314
0.660,0.314
0.661,0.314
0.662,0.314
0.663,0.314
